Year,Week_Number,Absolute Storage Score,Delta Inventory Score
2024,42,1,-1
2024,41,1,1
2024,40,1,1
2024,39,1,-1
2024,38,1,1
2024,37,-1,1
2024,36,-1,-1
2024,35,1,1
2024,34,-1,-1
2024,33,1,1
2024,32,1,-1
2024,31,1,1
2024,30,-1,1
2024,29,-1,1
2024,28,-1,1
2024,27,-1,-1
2024,26,-1,1
2024,25,-1,-1
2024,24,-1,-1
2024,23,-1,-1
2024,22,-1,-1
2024,21,-1,1
2024,20,-1,-1
2024,19,-1,1
2024,18,-1,1
2024,17,-1,-1
2024,16,-1,1
2024,15,-1,-1
2024,14,-1,-1
2024,13,-1,-1
2024,12,1,-1
2024,11,1,1
2024,10,1,1
2024,9,1,1
2024,8,1,-1
2024,7,1,-1
2024,6,1,-1
2024,5,1,-1
2024,4,1,1
2024,3,1,1
2024,2,1,1
2024,1,1,-1
2023,52,1,1
2023,51,-1,1
2023,50,-1,-1
2023,49,-1,1
2023,48,-1,1
2023,47,-1,-1
2023,46,-1,-1
2023,45,1,-1
2023,44,1,-1
2023,43,1,1
2023,42,1,1
2023,41,1,1
2023,40,1,-1
2023,39,1,1
2023,38,-1,1
2023,37,-1,1
2023,36,-1,-1
2023,35,1,1
2023,34,-1,1
2023,33,-1,1
2023,32,-1,1
2023,31,-1,-1
2023,30,-1,1
2023,29,-1,-1
2023,28,-1,1
2023,27,-1,-1
2023,26,-1,1
2023,25,-1,1
2023,24,-1,1
2023,23,-1,-1
2023,22,-1,1
2023,21,-1,-1
2023,20,-1,1
2023,19,-1,-1
2023,18,-1,-1
2023,17,-1,1
2023,16,-1,1
2023,15,-1,1
2023,14,-1,1
2023,13,-1,1
2023,12,-1,1
2023,11,-1,1
2023,10,-1,1
2023,9,-1,1
2023,8,-1,1
2023,7,-1,-1
2023,6,-1,-1
2023,5,-1,-1
2023,4,-1,1
2023,3,-1,1
2023,2,-1,-1
2023,1,-1,-1
2022,52,1,1
2022,51,1,-1
2022,50,1,1
2022,49,1,-1
2022,48,1,1
2022,47,1,1
2022,46,1,1
2022,45,1,1
2022,44,-1,1
2022,43,-1,1
2022,42,-1,1
2022,41,-1,1
2022,40,-1,-1
2022,39,-1,1
2022,38,-1,1
2022,37,-1,-1
2022,36,-1,-1
2022,35,-1,-1
2022,34,1,-1
2022,33,1,1
2022,32,1,1
2022,31,1,-1
2022,30,1,-1
2022,29,1,1
2022,28,1,1
2022,27,1,-1
2022,26,1,-1
2022,25,1,-1
2022,24,1,-1
2022,23,1,-1
2022,22,1,-1
2022,21,1,1
2022,20,1,1
2022,19,1,1
2022,18,1,-1
2022,17,1,1
2022,16,1,1
2022,15,1,1
2022,14,1,-1
2022,13,1,-1
2022,12,1,1
2022,11,1,1
2022,10,1,-1
2022,9,1,1
2022,8,1,1
2022,7,1,-1
2022,6,1,1
2022,5,1,1
2022,4,1,1
2022,3,1,1
2022,2,1,1
2022,1,1,1
2021,52,-1,-1
2021,51,1,1
2021,50,1,1
2021,49,1,1
2021,48,1,-1
2021,47,1,1
